persuadee persuader relationship
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
臣-下级
将-下级
皇子-臣
君-皇子
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-皇子
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-皇子
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
夫-妻
君-宗亲
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
太后-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-臣
臣-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
臣-下级
师-生
臣-下级
父-子
将-下级
君-臣
君-臣
君-臣
君-臣
父-子
君-臣
君-臣
君-臣
君-臣
将-下级
军阀-下级
将-下级
将-下级
君-宦官
君-宦官
君-臣
军阀-下级
将-下级
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
臣-下级
臣-下级
臣-下级
君-宗亲
君-宗亲
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
军阀-下级
军阀-下级
师-生
师-生
臣-下级
臣-下级
君-皇子
君-臣
君-臣
君-臣
君-臣
臣-诸生
君-臣
军阀-下级
军阀-下级
军阀-下级
师-生
军阀-下级
军阀-下级
军阀-下级
军阀-下级
皇子-臣
军阀-下级
君-臣
君-臣
军阀-下级
君-臣
父-子
君-臣
臣-下级
君-臣
皇子-臣
将-下级
军阀-下级
皇子-臣
君-臣
军阀-下级
君-臣
君-臣
军阀-下级
君-臣
君-臣
君-臣
军阀-下级
君-臣
君-臣
军阀-下级
君-皇子
宗亲-臣
臣-下级
君-臣
君-臣
臣-君
君-臣
臣-下级
君-臣
君-臣
君-臣
君-臣
皇子-臣
宗亲-臣
宗亲-臣
宗亲-臣
将-下级
兄-弟
君-臣
臣-下级
宗亲-臣
君-臣
宗亲-臣
君-臣
夫-妻
君-臣
臣-隐士
皇子-臣
皇子-臣
宗亲-臣
将-下级
宗亲-臣
将-下级
将-下级
君-臣
将-下级
皇子-臣
君-臣
君-臣
叔-侄
将-下级
君-臣
君-臣
君-臣
君-臣
将-下级
将-下级
军阀-下级
军阀-下级
军阀-下级
军阀-下级
军阀-下级
军阀-下级
军阀-下级
军阀-下级
君-臣
君-臣
君-臣
